author_name|id|author_order
Mayutan Arumaithurai|https://nbn-resolving.org/urn:nbn:de:gbv:7-11858/00-1735-0000-002E-E446-7-5|first
Jürgen Rauschenbach|https://d-nb.info/870212508|first
Roman Klinger|https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-110119|first
Thomas Schildhauer|https://d-nb.info/920720846|first
Anja Bog|https://d-nb.info/1033231886|first
Michael Wächter|https://d-nb.info/1192467817|first
Rainer Götze 0001|https://d-nb.info/945389159|first
Meinald T. Thielsch|https://d-nb.info/1148672664|first
Ansgar Scherp|http://macau.uni-kiel.de/receive/macau_publ_00000696|first
Carola Eschenbach|https://d-nb.info/94553762X|first
Christopher Richardson|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.747982|first
A. H. S. Loh|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.623842|first
Alastair Peter Dunsmore|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.269999|first
Martin J. Wheatman|http://eprints.lancs.ac.uk/11680/|first
Peter J. Fleming|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.534739|first
Ian Miguel|https://d-nb.info/969624166|first
Patrick Gros|https://tel.archives-ouvertes.fr/tel-00004889|first
Johan Montagnat|https://tel.archives-ouvertes.fr/tel-00691915|first
Anne Auger|https://tel.archives-ouvertes.fr/tel-01468781|first
Catherine Berrut|https://tel.archives-ouvertes.fr/tel-00004920|first
Taehyun Kim 0003|https://d-nb.info/99128027X|first
Ozgur Kurc|https://d-nb.info/987746987|first
Volker Baier|https://d-nb.info/991168747|first
Felix Flentge|https://d-nb.info/986313769|first
Sergej Alekseev|https://d-nb.info/984434062|first
Monique Janneck|https://d-nb.info/985915951|first
Hermann Birkholz|https://d-nb.info/991301455|first
Ralf Schmitz|https://d-nb.info/985468084|first
Michael Gellner|https://d-nb.info/988799375|first
Ralf Hofmann|https://d-nb.info/97316641X|first
Johannes Bitterling|http://www.bod.de/index.php?id=296&objk_id=194569|first
Sebastian Wieczorek|https://d-nb.info/1008890065|first
Timo Götzelmann|https://d-nb.info/987741551|first
Alexander Ziegler|https://d-nb.info/993395414|first
Kai Kapp|http://www.uvka.de/univerlag/volltexte/2005/93/pdf/Kapp_Kai.pdf|first
Vitalian A. Danciu|http://www.bod.de/index.php?id=296&objk_id=188511|first
Ingrid Rügge|https://d-nb.info/985467851|first
Eduard Siemens|https://d-nb.info/988386585|first
Michael Barth|http://www.bod.de/index.php?id=296&objk_id=228746|first
Hendrik Witt|https://d-nb.info/987814362|first
Christian Knöpfle|https://d-nb.info/984485945|first
Marcus Raitner|https://d-nb.info/985518715|first
Melanie Weis|https://d-nb.info/987676849|first
Dennis Allerkamp|https://doi.org/10.1007/978-3-642-13974-1|first
Bixia Wu|https://d-nb.info/985425121|first
Bernhard Fechner|https://d-nb.info/990301346|first
Cristian Pérez de Laborda Schwankhart|https://d-nb.info/986652032|first
Ulf-Daniel Ehlers|https://d-nb.info/1001928911|first
Markus Krätzig|https://d-nb.info/98882356X|first
Michael Eulenstein|http://scidok.sulb.uni-saarland.de/volltexte/2005/463/index.html|first
Björn W. Schuller|http://mediatum.ub.tum.de/doc/1138558/38728.pdf|first
Elke Focke|https://d-nb.info/988033844|first
Thomas Zimmermann 0001|http://www.bod.de/index.php?id=296&objk_id=220006|first
Thomas Setzer|https://d-nb.info/991258614|first
Stefan Schaden|https://d-nb.info/985692642|first
Stephan Volmer|https://d-nb.info/984551832|first
Stefan Martin Frenz|https://d-nb.info/98838745X|first
Peter Tandler|https://d-nb.info/989592812|first
Carsten Bange|https://d-nb.info/969493525|first
Klaus Herrmann 0001|https://d-nb.info/988875128|first
Stefan Baerisch|https://d-nb.info/995466882|first
Matthias Korch|https://d-nb.info/988858061|first
Vasian Cepa|https://d-nb.info/983751560|first
Michael Hellenschmidt|https://d-nb.info/988827433|first
Holger Lyre|https://d-nb.info/972000216|first
David Link|https://d-nb.info/98204772X|first
Daniel F. Abawi|https://d-nb.info/987067796|first
Christian Emig|https://d-nb.info/989975797|first
Jörg Benze|https://d-nb.info/984162275|first
Georg Treu|https://d-nb.info/988615754|first
Kim Boström|https://d-nb.info/986312657|first
Ji Hu 0001|https://d-nb.info/1007091916|first
Stephan Johannes Franz Graf|https://d-nb.info/997463805|first
Anis Charfi|https://d-nb.info/988796554|first
Sebastian Rockel|https://d-nb.info/989496538|first
Stefan Naumann|https://d-nb.info/984842314|first
Daniel Herrscher|https://d-nb.info/98665101X|first
Roman Dementiev|https://d-nb.info/986494429|first
Frank Steinicke|https://d-nb.info/986384976|first
Nils Klimanis|https://d-nb.info/989177548|first
Jens Graupmann|https://d-nb.info/98663140X|first
Marcus Kleinehagenbrock|https://d-nb.info/989482464|first
Ulrich Schäfer|https://d-nb.info/988829878|first
Lynne Parker|https://doi.org/10.1007/978-3-662-43505-2_72|first
Oscar Montiel Ross|https://doi.org/10.1007/978-3-662-43505-2_76|first
Roberto Sepúlveda Cruz|https://doi.org/10.1007/978-3-662-43505-2_76|last
Ravi Jhawar|https://doi.org/10.1007/978-1-4939-2092-1_45|first
Vincenzo Piuri|https://doi.org/10.1007/978-1-4939-2092-1_45|last
Francesca Pratesi|https://doi.org/10.1007/978-3-319-98161-1_10|first
Anna Monreale|https://doi.org/10.1007/978-3-319-98161-1_10|middle
Dino Pedreschi|https://doi.org/10.1007/978-3-319-98161-1_10|last
Robert Birke|https://doi.org/10.1007/978-1-4939-2092-1_43|first
Lydia Y. Chen|https://doi.org/10.1007/978-1-4939-2092-1_43|middle
Evgenia Smirni|https://doi.org/10.1007/978-1-4939-2092-1_43|last
Antonio Sanfilippo|https://doi.org/10.1007/978-1-4614-8806-4_65|first
Roderick M. Riensche|https://doi.org/10.1007/978-1-4614-8806-4_65|middle
Jereme Haack|https://doi.org/10.1007/978-1-4614-8806-4_65|middle
Scott Butner|https://doi.org/10.1007/978-1-4614-8806-4_65|last
Masahiro Inuiguchi|https://doi.org/10.1007/978-3-662-43505-2_26|first
Wei-Zhi Wu|https://doi.org/10.1007/978-3-662-43505-2_26|middle
Chris Cornelis|https://doi.org/10.1007/978-3-662-43505-2_26|middle
Nele Verbiest|https://doi.org/10.1007/978-3-662-43505-2_26|last
Julie Digne|https://doi.org/10.1007/978-1-4939-0790-8_27|first
Mariella Dimiccoli|https://doi.org/10.1007/978-1-4939-0790-8_27|middle
Neus Sabater|https://doi.org/10.1007/978-1-4939-0790-8_27|middle
Philippe Salembier|https://doi.org/10.1007/978-1-4939-0790-8_27|last
Carole R. Beal|https://doi.org/10.1007/978-1-4614-8806-4_15|first
Clayton T. Morrison|https://doi.org/10.1007/978-1-4614-8806-4_15|middle
Juan C. Villegas|https://doi.org/10.1007/978-1-4614-8806-4_15|last
Jingtao Yao 0001|https://doi.org/10.1007/978-3-662-43505-2_25|first
Davide Ciucci|https://doi.org/10.1007/978-3-662-43505-2_25|middle
Yan Zhang 0030|https://doi.org/10.1007/978-3-662-43505-2_25|last
Franz Rothlauf|https://doi.org/10.1007/978-3-662-43505-2_53|first
Theodore P. Pavlic|https://doi.org/10.1007/978-1-4614-8806-4_74|first
Stephen C. Pratt|https://doi.org/10.1007/978-1-4614-8806-4_74|last
Carlos Pedrinaci|https://doi.org/10.1007/978-3-540-92913-0_22|first
John Domingue|https://doi.org/10.1007/978-3-540-92913-0_22|middle
Amit P. Sheth|https://doi.org/10.1007/978-3-540-92913-0_22|last
Jerzy W. Grzymala-Busse|https://doi.org/10.1007/978-3-662-43505-2_23|first
Ben Adida|https://doi.org/10.1007/978-3-540-92913-0_5|first
Mark Birbeck|https://doi.org/10.1007/978-3-540-92913-0_5|middle
Ivan Herman|https://doi.org/10.1007/978-3-540-92913-0_5|last
Ian Horrocks 0001|https://doi.org/10.1007/978-3-540-92913-0_9|first
Peter F. Patel-Schneider|https://doi.org/10.1007/978-3-540-92913-0_9|last
Gergely Ács|https://doi.org/10.1007/978-3-319-98161-1_12|first
Gergely Biczók|https://doi.org/10.1007/978-3-319-98161-1_12|middle
Claude Castelluccia|https://doi.org/10.1007/978-3-319-98161-1_12|last
Laurent Michel|https://doi.org/10.1007/978-3-319-07124-4_7|first
Pascal Van Hentenryck|https://doi.org/10.1007/978-3-319-07124-4_7|last
James Tin-Yau Kwok|https://doi.org/10.1007/978-3-662-43505-2_29|first
Zhi-Hua Zhou|https://doi.org/10.1007/978-3-662-43505-2_29|middle
Lei Xu 0001|https://doi.org/10.1007/978-3-662-43505-2_29|last
Richard Linares|https://doi.org/10.1007/978-3-319-95504-9_4|first
Vivek Vittaldev|https://doi.org/10.1007/978-3-319-95504-9_4|middle
Humberto C. Godinez|https://doi.org/10.1007/978-3-319-95504-9_4|last
Albert Yu-Min Lin|https://doi.org/10.1007/978-1-4614-8806-4_16|first
Andrew Huynh|https://doi.org/10.1007/978-1-4614-8806-4_16|middle
Luke Barrington|https://doi.org/10.1007/978-1-4614-8806-4_16|middle
Gert R. G. Lanckriet|https://doi.org/10.1007/978-1-4614-8806-4_16|last
J. Rubén Titos Gil|https://doi.org/10.1007/978-1-4939-2092-1_27|first
Manuel E. Acacio|https://doi.org/10.1007/978-1-4939-2092-1_27|last
Haluk Damgacioglu|https://doi.org/10.1007/978-3-319-95504-9_12|first
Emrah Celik|https://doi.org/10.1007/978-3-319-95504-9_12|middle
Chongli Yuan|https://doi.org/10.1007/978-3-319-95504-9_12|middle
Nurcin Celik|https://doi.org/10.1007/978-3-319-95504-9_12|last
Gabriella Castelli|https://doi.org/10.1007/978-1-4614-8806-4_44|first
Marco Mamei|https://doi.org/10.1007/978-1-4614-8806-4_44|middle
Alberto Rosi|https://doi.org/10.1007/978-1-4614-8806-4_44|middle
Franco Zambonelli|https://doi.org/10.1007/978-1-4614-8806-4_44|last
Ritu Arora|https://doi.org/10.1007/978-1-4939-2092-1_37|first
JingZheng Wu|https://doi.org/10.1007/978-1-4939-2092-1_32|first
Yanjun Wu|https://doi.org/10.1007/978-1-4939-2092-1_32|middle
Bei Guan|https://doi.org/10.1007/978-1-4939-2092-1_32|middle
Yuqi Lin|https://doi.org/10.1007/978-1-4939-2092-1_32|middle
Samee U. Khan|https://doi.org/10.1007/978-1-4939-2092-1_32|middle
Nasro Min-Allah|https://doi.org/10.1007/978-1-4939-2092-1_32|middle
Yongji Wang 0002|https://doi.org/10.1007/978-1-4939-2092-1_32|last
Marco de Gemmis|https://doi.org/10.1007/978-1-4899-7637-6_4|first
Pasquale Lops|https://doi.org/10.1007/978-1-4899-7637-6_4|middle
Cataldo Musto|https://doi.org/10.1007/978-1-4899-7637-6_4|middle
Fedelucio Narducci|https://doi.org/10.1007/978-1-4899-7637-6_4|middle
Giovanni Semeraro|https://doi.org/10.1007/978-1-4899-7637-6_4|last
Susana Montes|https://doi.org/10.1007/978-3-662-43505-2_11|first
Ignacio Montes|https://doi.org/10.1007/978-3-662-43505-2_11|middle
Tania Iglesias|https://doi.org/10.1007/978-3-662-43505-2_11|last
Winter A. Mason|https://doi.org/10.1007/978-1-4614-8806-4_53|first
Gediminas Adomavicius|https://doi.org/10.1007/978-1-4899-7637-6_25|first
YoungOk Kwon|https://doi.org/10.1007/978-1-4899-7637-6_25|last
Remco Chang|https://doi.org/10.1007/978-1-4614-8806-4_46|first
Caroline Ziemkiewicz|https://doi.org/10.1007/978-1-4614-8806-4_46|last
Xia Ning|https://doi.org/10.1007/978-1-4899-7637-6_2|first
Christian Desrosiers|https://doi.org/10.1007/978-1-4899-7637-6_2|middle
George Karypis|https://doi.org/10.1007/978-1-4899-7637-6_2|last
Michael J. Witbrock|https://doi.org/10.1007/978-1-4614-8806-4_40|first
Luka Bradesko|https://doi.org/10.1007/978-1-4614-8806-4_40|last
Luis Francisco Cómbita|https://doi.org/10.1007/978-3-319-95504-9_17|first
Jairo Alonso Giraldo|https://doi.org/10.1007/978-3-319-95504-9_17|middle
Alvaro A. Cárdenas|https://doi.org/10.1007/978-3-319-95504-9_17|middle
Nicanor Quijano|https://doi.org/10.1007/978-3-319-95504-9_17|last
Kenneth Sörensen|https://doi.org/10.1007/978-3-319-07124-4_4|first
Marc Sevaux|https://doi.org/10.1007/978-3-319-07124-4_4|middle
Fred W. Glover|https://doi.org/10.1007/978-3-319-07124-4_4|last
Fernando Turrado García|https://doi.org/10.1007/978-1-4939-2092-1_23|first
Ana Lucila Sandoval Orozco|https://doi.org/10.1007/978-1-4939-2092-1_23|middle
Luis Javier García-Villalba|https://doi.org/10.1007/978-1-4939-2092-1_23|last
Allan Axelrod|https://doi.org/10.1007/978-3-319-95504-9_16|first
Luca Carlone|https://doi.org/10.1007/978-3-319-95504-9_16|middle
Girish Chowdhary 0001|https://doi.org/10.1007/978-3-319-95504-9_16|middle
Sertac Karaman|https://doi.org/10.1007/978-3-319-95504-9_16|last
Barry Smyth|https://doi.org/10.1007/978-1-4899-7637-6_17|first
Maurice Coyle|https://doi.org/10.1007/978-1-4899-7637-6_17|middle
Peter Briggs|https://doi.org/10.1007/978-1-4899-7637-6_17|middle
Kevin McNally|https://doi.org/10.1007/978-1-4899-7637-6_17|middle
Michael P. O'Mahony|https://doi.org/10.1007/978-1-4899-7637-6_17|last
Juan Pablo Hourcade|https://doi.org/10.1007/978-1-4614-8806-4_77|first
Lisa P. Nathan|https://doi.org/10.1007/978-1-4614-8806-4_77|last
Kshanti A. Greene|https://doi.org/10.1007/978-1-4614-8806-4_23|first
Asad Waqar Malik|https://doi.org/10.1007/978-1-4939-2092-1_28|first
Samee U. Khan|https://doi.org/10.1007/978-1-4939-2092-1_28|last
Ryan E. Grant|https://doi.org/10.1007/978-1-4939-2092-1_12|first
Mohammad J. Rashti|https://doi.org/10.1007/978-1-4939-2092-1_12|middle
Pavan Balaji|https://doi.org/10.1007/978-1-4939-2092-1_12|middle
Ahmad Afsahi|https://doi.org/10.1007/978-1-4939-2092-1_12|last
Piero P. Bonissone|https://doi.org/10.1007/978-3-662-43505-2_41|first
Gabriele Steidl|https://doi.org/10.1007/978-1-4939-0790-8_22|first
Francisco Luna|https://doi.org/10.1007/978-3-662-43505-2_50|first
Enrique Alba 0001|https://doi.org/10.1007/978-3-662-43505-2_50|last
Michael G. Epitropakis|https://doi.org/10.1007/978-3-319-07124-4_32|first
Edmund K. Burke|https://doi.org/10.1007/978-3-319-07124-4_32|last
Jhon Edgar Amaya|https://doi.org/10.1007/978-3-662-43505-2_52|first
Carlos Cotta Porras|https://doi.org/10.1007/978-3-662-43505-2_52|middle
Antonio José Fernández Leiva|https://doi.org/10.1007/978-3-662-43505-2_52|last
Pablo Castells|https://doi.org/10.1007/978-1-4899-7637-6_26|first
Neil J. Hurley|https://doi.org/10.1007/978-1-4899-7637-6_26|middle
Saul Vargas|https://doi.org/10.1007/978-1-4899-7637-6_26|last
Gediminas Adomavicius|https://doi.org/10.1007/978-1-4899-7637-6_6|first
Alexander Tuzhilin|https://doi.org/10.1007/978-1-4899-7637-6_6|last
Mishal Thapa|https://doi.org/10.1007/978-3-319-95504-9_9|first
Bodiuzzaman Jony|https://doi.org/10.1007/978-3-319-95504-9_9|middle
Sameer B. Mulani|https://doi.org/10.1007/978-3-319-95504-9_9|middle
Samit Roy|https://doi.org/10.1007/978-3-319-95504-9_9|last
Elena Simperl|https://doi.org/10.1007/978-1-4614-8806-4_13|first
Maribel Acosta|https://doi.org/10.1007/978-1-4614-8806-4_13|middle
Fabian Flöck|https://doi.org/10.1007/978-1-4614-8806-4_13|last
Chang Liu 0001|https://doi.org/10.1007/978-1-4939-2092-1_21|first
Rajiv Ranjan|https://doi.org/10.1007/978-1-4939-2092-1_21|middle
Xuyun Zhang|https://doi.org/10.1007/978-1-4939-2092-1_21|middle
Chi Yang|https://doi.org/10.1007/978-1-4939-2092-1_21|middle
Jinjun Chen|https://doi.org/10.1007/978-1-4939-2092-1_21|last
Dominic DiFranzo|https://doi.org/10.1007/978-1-4614-8806-4_39|first
James A. Hendler|https://doi.org/10.1007/978-1-4614-8806-4_39|last
Konstantinos E. Parsopoulos|https://doi.org/10.1007/978-3-319-07124-4_22|first
Hisao Ishibuchi|https://doi.org/10.1007/978-3-662-43505-2_77|first
Yusuke Nojima|https://doi.org/10.1007/978-3-662-43505-2_77|last
Liliana Borcea|https://doi.org/10.1007/978-1-4939-0790-8_41|first
Neil Rubens|https://doi.org/10.1007/978-1-4899-7637-6_24|first
Mehdi Elahi|https://doi.org/10.1007/978-1-4899-7637-6_24|middle
Masashi Sugiyama|https://doi.org/10.1007/978-1-4899-7637-6_24|middle
Dain Kaplan|https://doi.org/10.1007/978-1-4899-7637-6_24|last
Patricia Melin|https://doi.org/10.1007/978-3-662-43505-2_79|first
Kashif Bilal|https://doi.org/10.1007/978-1-4939-2092-1_31|first
Samee U. Khan|https://doi.org/10.1007/978-1-4939-2092-1_31|middle
Marc Manzano|https://doi.org/10.1007/978-1-4939-2092-1_31|middle
Eusebi Calle|https://doi.org/10.1007/978-1-4939-2092-1_31|middle
Sajjad Ahmad Madani|https://doi.org/10.1007/978-1-4939-2092-1_31|middle
Khizar Hayat 0002|https://doi.org/10.1007/978-1-4939-2092-1_31|middle
Dan Chen 0001|https://doi.org/10.1007/978-1-4939-2092-1_31|middle
Lizhe Wang 0001|https://doi.org/10.1007/978-1-4939-2092-1_31|middle
Rajiv Ranjan|https://doi.org/10.1007/978-1-4939-2092-1_31|last
Jaume Barceló|https://doi.org/10.1007/978-3-319-07124-4_55|first
Hanna Grzybowska|https://doi.org/10.1007/978-3-319-07124-4_55|middle
Jesús Arturo Orozco|https://doi.org/10.1007/978-3-319-07124-4_55|last
Irena Koprinska|https://doi.org/10.1007/978-1-4899-7637-6_16|first
Kalina Yacef|https://doi.org/10.1007/978-1-4899-7637-6_16|last
Haluk Damgacioglu|https://doi.org/10.1007/978-3-319-95504-9_21|first
Mehrad Bastani|https://doi.org/10.1007/978-3-319-95504-9_21|middle
Nurcin Celik|https://doi.org/10.1007/978-3-319-95504-9_21|last
Manuel Laguna|https://doi.org/10.1007/978-3-319-07124-4_24|first
Su-Jin Lee|https://doi.org/10.1007/978-3-319-95504-9_18|first
Han-Lim Choi|https://doi.org/10.1007/978-3-319-95504-9_18|last
Habib Ammari|https://doi.org/10.1007/978-1-4939-0790-8_47|first
Hyeonbae Kang|https://doi.org/10.1007/978-1-4939-0790-8_47|last
Charles Byrne|https://doi.org/10.1007/978-1-4939-0790-8_8|first
Paul P. B. Eggermont|https://doi.org/10.1007/978-1-4939-0790-8_8|last
Muhammad Usman Shahid Khan|https://doi.org/10.1007/978-1-4939-2092-1_7|first
Samee Ullah Khan|https://doi.org/10.1007/978-1-4939-2092-1_7|last
Alexander M. Bronstein|https://doi.org/10.1007/978-1-4939-0790-8_57|first
Michael M. Bronstein|https://doi.org/10.1007/978-1-4939-0790-8_57|last
Badong Chen|https://doi.org/10.1007/978-3-662-43505-2_30|first
Weifeng Liu 0001|https://doi.org/10.1007/978-3-662-43505-2_30|middle
José C. Príncipe|https://doi.org/10.1007/978-3-662-43505-2_30|last
Daniel Estrada|https://doi.org/10.1007/978-1-4614-8806-4_75|first
Jonathan Lawhead|https://doi.org/10.1007/978-1-4614-8806-4_75|last
Helmut Nechansky|https://doi.org/10.1007/978-1-4614-8806-4_8|first
Lyndon J. B. Nixon|https://doi.org/10.1007/978-3-540-92913-0_21|first
Stamatia Dasiopoulou|https://doi.org/10.1007/978-3-540-92913-0_21|middle
Jean-Pierre Evain|https://doi.org/10.1007/978-3-540-92913-0_21|middle
Eero Hyvönen|https://doi.org/10.1007/978-3-540-92913-0_21|middle
Ioannis Kompatsiaris|https://doi.org/10.1007/978-3-540-92913-0_21|middle
Raphaël Troncy|https://doi.org/10.1007/978-3-540-92913-0_21|last
Guillaume Aupy|https://doi.org/10.1007/978-1-4939-2092-1_2|first
Anne Benoit|https://doi.org/10.1007/978-1-4939-2092-1_2|middle
Paul Renaud-Goud|https://doi.org/10.1007/978-1-4939-2092-1_2|middle
Yves Robert|https://doi.org/10.1007/978-1-4939-2092-1_2|last
Ismael Rodríguez-Fdez|https://doi.org/10.1007/978-3-662-43505-2_20|first
Manuel Mucientes|https://doi.org/10.1007/978-3-662-43505-2_20|middle
Alberto José Bugarín Diz|https://doi.org/10.1007/978-3-662-43505-2_20|last
Mark Billinghurst|https://doi.org/10.1007/978-1-4614-8806-4_26|first
Emiliano Iuliano|https://doi.org/10.1007/978-3-662-43505-2_60|first
Domenico Quagliarella|https://doi.org/10.1007/978-3-662-43505-2_60|last
Carlos García-Martínez|https://doi.org/10.1007/978-3-319-07124-4_28|first
Francisco J. Rodríguez 0003|https://doi.org/10.1007/978-3-319-07124-4_28|middle
Manuel Lozano 0001|https://doi.org/10.1007/978-3-319-07124-4_28|last
Mariá C. V. Nascimento|https://doi.org/10.1007/978-3-319-07124-4_41|first
Horacio Hideki Yanasse|https://doi.org/10.1007/978-3-319-07124-4_41|middle
Desiree Maldonado Carvalho|https://doi.org/10.1007/978-3-319-07124-4_41|last
John G. Breslin|https://doi.org/10.1007/978-3-540-92913-0_12|first
Alexandre Passant|https://doi.org/10.1007/978-3-540-92913-0_12|middle
Denny Vrandecic|https://doi.org/10.1007/978-3-540-92913-0_12|last
Erik Saule|https://doi.org/10.1007/978-1-4939-2092-1_22|first
Hasan Metin Aktulga|https://doi.org/10.1007/978-1-4939-2092-1_22|middle
Chao Yang 0001|https://doi.org/10.1007/978-1-4939-2092-1_22|middle
Esmond G. Ng|https://doi.org/10.1007/978-1-4939-2092-1_22|middle
Ümit V. Çatalyürek|https://doi.org/10.1007/978-1-4939-2092-1_22|last
Micha vor dem Berge|https://doi.org/10.1007/978-1-4939-2092-1_6|first
Jochen Buchholz|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Leandro F. Cupertino|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Georges Da Costa|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Andrew Donoghue|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Georgina Gallizo|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Mateusz Jarus|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Lara Lopez|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Ariel Oleksiak|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Enric Pages|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Wojciech Piatek|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Jean-Marc Pierson|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Tomasz Piontek|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Daniel Rathgeb|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Jaume Salom|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Laura Sisó|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Eugen Volk|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Uwe Wössner|https://doi.org/10.1007/978-1-4939-2092-1_6|middle
Thomas Zilio|https://doi.org/10.1007/978-1-4939-2092-1_6|last
