editor|doi
Kurt Mehlhorn|https://doi.org/10.1007/978-1-4614-8265-9_272
Kurt Mehlhorn|https://doi.org/10.1109/NOTERE.2015.7293509
Kurt Mehlhorn|https://doi.org/10.1007/978-1-4614-8265-9_967
Kurt Mehlhorn|https://doi.org/10.1145/3411170.3411272
Zoran Majkic|https://doi.org/10.1007/978-3-319-62680-2
Jean-Michel Knippel|https://doi.org/10.1007/978-1-4614-8265-9_3843
Jean-Michel Knippel|http://studia.complexica.net/index.php?option=com_content&view=article&id=145
Jean-Michel Knippel|http://studia.complexica.net/index.php?option=com_content&view=article&id=243%3Acontribution-of-the-living-lab-approach-to-the-development-assessment-and-provision-of-assistive-technologies-for-supporting-older-adults-with-cognitive-disorders-pp-35-62
Jean-Michel Knippel|https://doi.org/10.1007/978-3-662-56641-1
Muhammad Usman Shahid Khan|https://doi.org/10.1145/3342428.3342694
Muhammad Usman Shahid Khan|https://doi.org/10.1007/978-0-387-39940-9_1235
Muhammad Usman Shahid Khan|https://doi.org/10.1007/978-1-4614-8265-9_113
Muhammad Usman Shahid Khan|https://doi.org/10.1007/978-1-4939-0790-8_49
Muhammad Usman Shahid Khan|https://doi.org/10.1007/978-1-4614-8806-4_6
N. Hamali|https://doi.org/10.1007/978-0-387-39940-9_305
N. Hamali|https://doi.org/10.1007/978-1-4614-8265-9_779
N. Hamali|https://doi.org/10.1007/978-3-540-30468-5_21
N. Hamali|https://doi.org/10.1007/978-3-642-23074-5_6
N. Hamali|https://doi.org/10.1007/978-0-387-39940-9_296
Hamo Hayami|https://doi.org/10.1007/978-1-4614-8265-9_395
Eric Dubois 0001|https://doi.org/10.1504/IJTMCC.2015.076952
Eric Dubois 0001|https://doi.org/10.1007/978-1-4614-8806-4_21
Eric Dubois 0001|https://doi.org/10.1007/978-1-4939-2092-1_26
Eric Dubois 0001|http://biaa.eu/-upload/vouzzano72.pdf
Nabil Mesbahi|https://doi.org/10.1007/978-3-319-61949-1_9
Nabil Mesbahi|https://doi.org/10.1007/978-1-4757-4070-7
Daniel de Oliveira 0001|https://doi.org/10.1145/3411170.3411243
Daniel de Oliveira 0001|https://doi.org/10.1007/978-3-662-53455-7_1
Tassadit Bouadi|http://edoc.hu-berlin.de/18452/23979
Travell Perkins|https://doi.org/10.1007/978-1-4614-8265-9_1493
Odysseas Papapetrou|https://doi.org/10.1007/978-0-387-39940-9_945
Odysseas Papapetrou|https://doi.org/10.1007/978-0-387-39940-9_1366
Odysseas Papapetrou|https://doi.org/10.1007/978-0-387-39940-9_402
Christian Chiarcos|https://doi.org/10.1007/978-3-030-64155-9
Christian Chiarcos|http://biaa.eu/-upload/BIAA83.pdf
Christian Chiarcos|https://doi.org/10.1007/978-3-319-95504-9_8
Asya Willerval|https://doi.org/10.1007/978-3-642-16175-9_4
Asya Willerval|https://doi.org/10.1007/978-0-387-39940-9_1166
Asya Willerval|https://doi.org/10.1007/978-0-387-39940-9_947
Asya Willerval|https://doi.org/10.1007/978-981-10-0830-6
Ramón Alvarez-Valdés|https://doi.org/10.1109/NOTERE.2010.5536568
Ramón Alvarez-Valdés|http://studia.complexica.net/index.php?option=com_content&view=article&id=74
Ramón Alvarez-Valdés|https://doi.org/10.1007/978-981-19-0638-1
Ramón Alvarez-Valdés|https://doi.org/10.1007/978-3-662-58384-5_1
Ramón Alvarez-Valdés|https://doi.org/10.1109/NOTERE.2010.5536852
Enrique Hernández-Orallo|https://doi.org/10.1007/978-3-540-30469-2_22
Enrique Hernández-Orallo|http://mediatum.ub.tum.de/doc/1138558/38728.pdf
Enrique Hernández-Orallo|http://studia.complexica.net/index.php?option=com_content&view=article&id=127
Shaolei Ren|Distributed Consensus Mechanisms for Self-Interested Heterogeneous Agents._1993
Shaolei Ren|https://doi.org/10.1007/978-1-4614-8265-9_549
Shaolei Ren|https://doi.org/10.1007/978-3-540-39964-3_52
Shaolei Ren|https://doi.org/10.1007/978-3-662-43505-2_52
Shaolei Ren|https://doi.org/10.1007/978-94-015-9540-7
Antoni Kreczmar|https://doi.org/10.1007/978-3-662-43505-2_35
Antoni Kreczmar|https://doi.org/10.1007/978-3-662-43505-2_2
Antoni Kreczmar|https://doi.org/10.1007/978-1-4614-8806-4_16
Antoni Kreczmar|https://doi.org/10.1007/978-981-15-4867-3
Antoni Kreczmar|https://doi.org/10.1007/978-1-4614-8265-9_80761
Manel Chenait|https://doi.org/10.1007/978-3-031-12578-2
Manel Chenait|https://doi.org/10.1145/3411170.3411267
Manel Chenait|https://doi.org/10.1007/978-3-030-18468-1
Gregory Biegel|https://doi.org/10.1007/978-3-642-45269-7_3
Gregory Biegel|https://doi.org/10.1007/978-3-540-30468-5_37
Gregory Biegel|https://doi.org/10.1007/978-3-662-56121-8_1
Gregory Biegel|https://doi.org/10.1007/978-3-662-58384-5_6
Gregory Biegel|https://doi.org/10.1007/978-3-030-13773-1
Giovanni Livraga|Elements of distributed algorithms: modeling and analysis with Petri nets_1998
Giovanni Livraga|https://doi.org/10.1007/978-3-642-45269-7_3
Giovanni Livraga|https://doi.org/10.1145/3411170.3411275
Giovanni Livraga|https://doi.org/10.1007/978-1-4939-2092-1_34
Friederike Nickl|https://doi.org/10.1109/COOPIS.1998.706197
Friederike Nickl|https://doi.org/10.1007/978-3-662-46485-4_6
Kian-Lee Tan|From Organization Models to System Requirements: A 'Cooperating Agents' Approach._1995
Pietro Manzoni|https://doi.org/10.1007/978-3-319-07124-4_31
Sara García-Herranz|https://doi.org/10.1145/3284869.3284874
Sara García-Herranz|https://doi.org/10.1007/978-981-15-0275-0
Volker Wehmeier|https://doi.org/10.1007/978-3-030-31729-4
Volker Wehmeier|https://doi.org/10.1007/978-3-030-43506-6
Volker Wehmeier|https://doi.org/10.1007/978-3-662-64553-6_5
Volker Wehmeier|https://doi.org/10.1007/978-3-030-43506-6
B. Muthuswamy|https://doi.org/10.1016/j.eswax.2019.100016
B. Muthuswamy|https://doi.org/10.1109/NOTERE.2015.7293514
Wookey Lee|https://doi.org/10.1007/978-3-662-46353-6
Wookey Lee|https://doi.org/10.1007/978-3-662-58415-6_6
Wookey Lee|https://doi.org/10.1007/978-3-662-58415-6_7
Wookey Lee|https://doi.org/10.1007/978-3-662-43505-2_8
Asad Waqar Malik|http://studia.complexica.net/index.php?option=com_content&view=article&id=249%3Aexploratory-data-analysis-of-insulin-therapy-in-the-elderly-type-2-diabetic-patients-pp-32-49
Asad Waqar Malik|http://studia.complexica.net/index.php?option=com_content&view=article&id=56
Olivier Vogel|https://doi.org/10.1007/978-3-662-47810-3
Olivier Vogel|http://scidok.sulb.uni-saarland.de/volltexte/2005/463/index.html
Reto Krummenacher|https://doi.org/10.1007/978-1-4614-8265-9_1465
Reto Krummenacher|https://doi.org/10.1007/978-3-658-28415-2
Reto Krummenacher|https://doi.org/10.1007/978-1-4614-8265-9_80740
Reto Krummenacher|https://doi.org/10.1007/978-1-4614-8265-9_1173
Christopher Richardson|https://doi.org/10.1007/978-3-662-62199-8_5
Xin Qin|https://doi.org/10.1007/978-3-658-06457-0
Frank Dürr|IRO-DB, a Solution for Computer Integrated Manufacturing Applications._1995
Frank Dürr|https://doi.org/10.1145/3284869.3284921
Frank Dürr|https://doi.org/10.1007/978-3-662-43505-2_77
Frank Dürr|https://doi.org/10.1007/978-3-319-98161-1_7
Eyke Hüllermeier|https://doi.org/10.1007/978-1-4614-8265-9_144
Eyke Hüllermeier|https://doi.org/10.1007/978-1-4614-8265-9_942
Eyke Hüllermeier|http://mediatum.ub.tum.de/doc/1138558/38728.pdf
Eyke Hüllermeier|https://doi.org/10.1145/3342428.3342660
Eyke Hüllermeier|https://doi.org/10.1007/978-1-4471-6630-6
Shashi Shekhar|https://doi.org/10.1007/978-1-4614-8265-9_5046
Guy Denhière|https://doi.org/10.1007/978-3-662-54054-1_5
Guy Denhière|https://doi.org/10.1007/978-3-642-34179-3_2
Guy Denhière|Définitions formelles des réseaux de petri._2009
Chuck Winters|https://doi.org/10.1007/978-1-4614-8265-9_252
Joseph P. Loyall|https://doi.org/10.1007/978-981-16-1566-5
Joseph P. Loyall|https://doi.org/10.1007/3-540-36124-3_56
Joseph P. Loyall|https://doi.org/10.1007/978-981-15-7695-9
Stefan Tai|https://doi.org/10.1007/978-3-540-92913-0_2
Helmut Nechansky|https://doi.org/10.1007/978-3-319-95504-9_30
Maurizio Lenzerini|https://doi.org/10.1007/978-3-662-55608-5_3
Maurizio Lenzerini|https://doi.org/10.1007/978-3-319-61949-1_15
Maurizio Lenzerini|https://doi.org/10.1145/1416729.1416747
Maurizio Lenzerini|https://doi.org/10.1007/978-3-030-38339-8
Maurizio Lenzerini|https://doi.org/10.1007/978-0-387-39940-9_398
John Gialelis|https://doi.org/10.1007/978-0-387-39940-9_914
El-Ghazali Talbi|https://doi.org/10.1007/3-540-36124-3_70
El-Ghazali Talbi|https://doi.org/10.1007/978-3-319-47431-1
El-Ghazali Talbi|https://d-nb.info/945700849
El-Ghazali Talbi|https://doi.org/10.1007/978-3-319-07124-4_59
El-Ghazali Talbi|https://doi.org/10.1145/3284869.3284915
Stefano Paolozzi|https://doi.org/10.1007/978-1-4614-8806-4_45
Stefano Paolozzi|https://doi.org/10.1007/978-1-4939-2092-1_14
Stefano Paolozzi|https://doi.org/10.1109/COOPIS.1998.706185
Stefano Paolozzi|https://doi.org/10.1007/978-3-319-07124-4_32
Stefano Paolozzi|https://doi.org/10.1109/COOPIS.1997.613812
Luciano Baresi|https://doi.org/10.1007/978-981-16-5936-2
Anne Mulkers|https://doi.org/10.1007/978-3-030-45355-8
Eduardo Massad|https://doi.org/10.1145/3284869.3284916
Eduardo Massad|https://doi.org/10.1007/978-0-387-39940-9_203
G. R. Kanagachidambaresan|http://studia.complexica.net/index.php?option=com_content&view=article&id=248%3Aflexible-environment-for-integration-of-polish-medical-market-data-pp-18-31
Cong Fang|https://doi.org/10.1504/IJTMCC.2014.067305
Cong Fang|https://d-nb.info/910924112
Cong Fang|http://studia.complexica.net/index.php?option=com_content&view=article&id=213%3Avers-une-specication-des-modeles-de-simulation-de-systemes-complexes-pp-07-37-
Cong Fang|Vouzzavedibisar: Der Weise. Le sage._2011
Denny Vrandecic|http://studia.complexica.net/index.php?option=com_content&view=article&id=204%3Aon-some-hard-to-solve-versions-of-the-assignment-problem-pp65-78
Denny Vrandecic|https://doi.org/10.1007/978-3-662-53416-8_3
Michal Kochlán|https://doi.org/10.1007/978-1-4614-8265-9_478
Michal Kochlán|https://doi.org/10.1007/978-1-4614-8265-9_1345
Michal Kochlán|https://doi.org/10.1145/3342428.3342654
Dirk Vermeir|https://doi.org/10.1007/978-1-4614-8265-9_80739
Dirk Vermeir|https://doi.org/10.1007/978-3-319-76111-4_27
Dirk Vermeir|https://doi.org/10.1007/978-981-15-3928-2
Dirk Vermeir|https://doi.org/10.1145/3342428.3342684
Roosevelt Silva|https://doi.org/10.1109/NOTERE.2010.5536677
Roosevelt Silva|http://studia.complexica.net/index.php?option=com_content&view=article&id=122
Roosevelt Silva|https://doi.org/10.1007/978-3-642-03722-1_1
Roosevelt Silva|https://doi.org/10.1007/978-1-4614-8265-9_1026
Roosevelt Silva|https://doi.org/10.1007/978-3-030-53360-1
C. Icdem|https://doi.org/10.1007/978-0-387-39940-9_410
C. Icdem|https://doi.org/10.1007/978-1-4939-2092-1_31
C. Icdem|https://doi.org/10.1145/3342428.3342667
C. Icdem|https://doi.org/10.1007/978-0-387-39940-9_554
C. Icdem|https://doi.org/10.1007/978-1-4614-8806-4_7
Daniel Neagu|https://doi.org/10.1007/978-3-662-43505-2_4
Daniel Neagu|https://doi.org/10.1007/978-1-4939-0790-8_7
Daniel Neagu|https://doi.org/10.1007/978-3-662-62386-2_4
Daniel Neagu|https://doi.org/10.1007/978-981-16-3750-6
Daniel Neagu|https://doi.org/10.1007/978-3-662-43505-2_75
Eric C. Jensen|https://doi.org/10.1007/978-3-319-94992-5
Eric C. Jensen|http://studia.complexica.net/index.php?option=com_content&view=article&id=140
Eric C. Jensen|https://doi.org/10.1007/978-0-387-39940-9_518
Giulio Rossetti|https://doi.org/10.1007/978-3-642-54426-2_4
Giulio Rossetti|https://doi.org/10.1007/978-1-4939-0790-8_52
Giulio Rossetti|https://doi.org/10.1007/978-3-030-59342-1
José A. Ondiviela|An Object-Oriented Programming Environment for Multimedia Cooperative Information Systems._1994
José A. Ondiviela|https://doi.org/10.1007/3-540-36124-3_10
José A. Ondiviela|https://doi.org/10.1007/978-981-10-6759-4
Alberto Zanella|https://doi.org/10.1007/978-0-387-39940-9_1053
Alberto Zanella|https://doi.org/10.1109/NOTERE.2015.7293487
Olivier Flauzac|https://doi.org/10.1007/978-0-387-39940-9_821
François Poulet|https://doi.org/10.1109/NOTERE.2015.7293488
François Poulet|https://doi.org/10.1007/978-1-4614-8265-9_221
Zheng Qin 0003|https://d-nb.info/989177548
Zheng Qin 0003|https://doi.org/10.1007/978-1-4614-8806-4_12
Jolanta Dajda|https://doi.org/10.1007/978-3-030-62330-2
Jolanta Dajda|https://doi.org/10.1007/978-3-642-67601-7
Jolanta Dajda|https://doi.org/10.1007/978-1-4939-0790-8_49
Jolanta Dajda|https://doi.org/10.1007/978-0-387-39940-9_156
Genady Shevchenko|https://doi.org/10.1007/978-0-387-39940-9_435
Václav Jirkovský|https://doi.org/10.1007/978-3-642-37574-3_2
Václav Jirkovský|https://doi.org/10.1007/978-3-319-05630-2
Tatiana E. Romanova|https://doi.org/10.1007/978-1-4614-8806-4_41
Tatiana E. Romanova|https://doi.org/10.1007/978-981-10-4965-1
Tatiana E. Romanova|http://studia.complexica.net/index.php?option=com_content&view=article&id=241%3Awhich-technologies-for-the-detection-and-alert-in-case-of-fall--pp18-29
Tatiana E. Romanova|http://biaa.eu/-upload/editono95.pdf
Tatiana E. Romanova|https://doi.org/10.1007/978-3-540-39964-3_77
Hong Va Leong|https://doi.org/10.1007/3-540-56734-8
Hong Va Leong|https://doi.org/10.1145/3284869.3284896
Mimoun Malki|https://doi.org/10.1007/978-3-662-62919-2_5
Mimoun Malki|https://doi.org/10.1007/978-1-4614-8265-9_743
Mimoun Malki|https://doi.org/10.1007/978-981-15-1967-3
Mimoun Malki|https://doi.org/10.1007/978-3-662-62199-8_4
Claudio Sterle|https://doi.org/10.1007/3-540-44751-2_17
Claudio Sterle|https://doi.org/10.1007/978-1-4614-8265-9_80680
Claudio Sterle|https://doi.org/10.1145/3411170.3411229
Claudio Sterle|https://doi.org/10.1109/COOPIS.1999.792169
Claudio Sterle|https://doi.org/10.1007/978-3-030-49256-4
Simant Dube|https://doi.org/10.1007/978-3-662-66146-8_1
Simant Dube|https://doi.org/10.1007/978-3-319-14240-1
Bartek Kiepuszewski|https://doi.org/10.1007/978-0-387-39940-9_33
Bartek Kiepuszewski|https://doi.org/10.1007/978-1-4471-6407-4
Bartek Kiepuszewski|https://doi.org/10.1007/978-0-387-39940-9_518
Bartek Kiepuszewski|https://doi.org/10.1109/COOPIS.1998.706291
Bartek Kiepuszewski|https://doi.org/10.1007/978-3-319-07124-4_57
Xiaoyuan Xie|https://doi.org/10.1007/978-3-319-30973-6
Elie F. Kfoury|https://doi.org/10.1007/978-3-319-07124-4_41
Elie F. Kfoury|https://d-nb.info/985692642
Etienne E. Kerre|https://doi.org/10.1007/978-3-540-38885-2
Etienne E. Kerre|https://doi.org/10.1007/978-3-662-43505-2_32
Etienne E. Kerre|https://doi.org/10.1007/978-3-662-66146-8_4
Etienne E. Kerre|https://doi.org/10.1007/978-3-030-14690-0
Frédéric DuBru|https://doi.org/10.1007/978-3-662-58384-5_1
Frédéric DuBru|https://doi.org/10.1007/978-3-662-45761-0_3
Rongquen Chen|http://studia.complexica.net/index.php?option=com_content&view=article&id=253%3Ainformation-in-the-public-sphere-social-and-political-stakes-pp-97-108
Rongquen Chen|https://doi.org/10.1007/10722620_6
Rongquen Chen|http://biaa.eu/-upload/editono95.pdf
Rongquen Chen|https://doi.org/10.1007/978-1-4614-8265-9_80620
Marcos K. Aguilera|https://doi.org/10.1007/978-1-4614-8265-9_80705
Marcos K. Aguilera|https://doi.org/10.1504/IJTMCC.2013.056425
Mourad Chabane Oussalah|https://doi.org/10.1007/3-540-70735-2
Mourad Chabane Oussalah|Preambule II: Les inscrit(e)s à la journée du 30 mars 2012._2012
