name|university
Enrique Hernández-Orallo|Trinity College Dublin
Shaolei Ren|University of Ferrara
Antoni Kreczmar|Sogang University
Manel Chenait|Brigham Young University
Gregory Biegel|University of Texas at San Antonio
Giovanni Livraga|University of Auckland
Friederike Nickl|University of Bath
Kian-Lee Tan|George Mason University
Pietro Manzoni|University of Groningen
Sara García-Herranz|Thomas Jefferson University
Volker Wehmeier|University of Cape Town
B. Muthuswamy|University of Buenos Aires
Wookey Lee|National Autonomous University of Mexico
Asad Waqar Malik|Medical College of Wisconsin
Olivier Vogel|University of Arkansas for Medical Sciences
Reto Krummenacher|University of Adelaide
Christopher Richardson|Southeast University
Xin Qin|Ajou University
Frank Dürr|Brigham Young University
Eyke Hüllermeier|University of Bordeaux I
Shashi Shekhar|Université libre de Bruxelles
Guy Denhière|University of Strathclyde
Chuck Winters|University of Missouri–Columbia
Joseph P. Loyall|University of Aberdeen
Stefan Tai|Southeast University
Helmut Nechansky|Colorado State University   Fort Collins
Maurizio Lenzerini|University of Nebraska–Lincoln
John Gialelis|Drexel University
El-Ghazali Talbi|University of Tennessee Knoxville
Stefano Paolozzi|London School of Hygiene & Tropical Medicine
Luciano Baresi|University of California Los Angeles
Anne Mulkers|Pusan National University
Eduardo Massad|University of Arizona
G. R. Kanagachidambaresan|Southeast University
Cong Fang|New York University
Denny Vrandecic|University of Alabama   Tuscaloosa
Michal Kochlán|Karlsruhe Institute of Technology
Dirk Vermeir|VU University Amsterdam
Roosevelt Silva|University of Paris Sud
C. Icdem|University of Zurich
Daniel Neagu|University of Strasbourg
Eric C. Jensen|Yonsei University
Giulio Rossetti|Tokyo Institute of Technology
José A. Ondiviela|University of Massachusetts Amherst
Alberto Zanella|University of Pennsylvania
Olivier Flauzac|University of Leeds
François Poulet|Miami University
Zheng Qin 0003|Queen's University
Jolanta Dajda|University of KwaZulu Natal
Genady Shevchenko|Keio University
Václav Jirkovský|Medical College of Wisconsin
Tatiana E. Romanova|University of Dundee
Hong Va Leong|University of Buenos Aires
Mimoun Malki|King Saud University
Claudio Sterle|Nanyang Technological University
Simant Dube|Humboldt University of Berlin
Bartek Kiepuszewski|San Diego State University
Xiaoyuan Xie|Chinese University of Hong Kong
Elie F. Kfoury|University of Queensland
Etienne E. Kerre|Université libre de Bruxelles
Frédéric DuBru|University of Parma
Rongquen Chen|Chiba University
Marcos K. Aguilera|Kyoto University
Mourad Chabane Oussalah|University of Barcelona
Jun Wang 0002|Lancaster University
Vikas Kumar 0005|Yokohama National University
Carolyn B. Seaman|Joseph Fourier University
Parvathi Chundi|University of Montreal
Yuri Malitsky|Rice University
Heinrich Wansing|University of Jena
Rose Lockwood|Aix Marseille University
Domenico Saccà|Pontifical Catholic University of Chile
Gilad Zlotkin|University at Buffalo The State University of New York
Carlotta Domeniconi|University of Michigan Ann Arbor
Rudi Studer|University of California San Diego
Antanas Verikas|University of Leicester
Irina Perfilieva|University of Denver
Beata Beigman Klebanov|Rutgers University New Brunswick
Parisa Allahverdizadeh|Federal University of Rio de Janeiro
Ralf Jungclaus|Indian Institute of Technology Delhi
Victor C. M. Leung|University of Kiel
Jing Xiao 0001|Ruprecht Karl University of Heidelberg
J. Alfonso Briones-García|Technical University of Berlin
Bernhard Thalheim|University of Lausanne
Seo-Young Noh|Rutgers University New Brunswick
Ciro Castiello|University of Göttingen
Anders Kolstad|Ewha Womans University
Donggang Liu|National Taiwan University
Joseph A. Goguen|National Taiwan University
Brian A. Nixon|National Autonomous University of Mexico
Mark Greaves|Temple University
Mario Barbacci|University of Bonn
Dipankar Deb|Chonnam National University
Martin Gaedke|University of Rome Tor Vergata
Philippe Cudré-Mauroux|University of Washington   Seattle
Maroun Chamoun|University of California Los Angeles
Michael Behringer|University of Rochester
Jacques Savoy|City University London
D. Sundararajan|University of Manchester
Mohsen Sharifi|Boston College
Sergio Serusi|George Mason University
Jun Fu 0001|Duke University
Rajiv Ranjan|University of Iowa
Susanna Spinsante|University of Cape Town
Kun Xie 0002|University of Bari Aldo Moro
Jeffrey P. Bigham|Georgetown University
Boris Ryabko|University of Hanover
Liyang Xiao|University of Minnesota Twin Cities
Raphaël Troncy|University of Nebraska–Lincoln
Werner Nutt|University of Barcelona
María Luisa Martín Ruiz|University of Siena
Jaime Lloret 0001|University of Manitoba
Disha Sangar|Purdue University West Lafayette
Ke Xu 0002|University of Hull
Frank Y. Shih|Princeton University
John Barnes|Royal Institute of Technology
Kemafor Anyanwu|George Washington University
Reidar Conradi|Kyungpook National University
Nacer Boudjlida|Illinois Institute of Technology
Simo Pöysä|Okayama University
Shai Guday|National Taiwan University
David Bermbach|Kyung Hee University
Awais Rashid|Texas Tech University (TTU)
Derrick L. Cogburn|University of Duisburg Essen
S. Jacobi|University of Science Malaysia
Philippe Besnard|University at Albany SUNY
Thierry Villemur|Kyungpook National University
Corey Bufi|Kumamoto University
Basel Solaiman|Aalto University
Adil Fahad|University of Liège
Jean-Louis Lanet|Technical University of Dortmund
Matteo Matteucci|Paris Diderot University   Paris 7
Zakaria Aarab|University of Missouri–Columbia
Zahi Jarir|University of Chile
Luca Casini|Harbin Institute of Technology
William McCune|University of Tokushima
Eric Yu 0001|Yeshiva University
Jacques Chabin|Dalian University of Technology
Eric R. Schendel|Autonomous University of Madrid
Eric G. Manning|Paris Diderot University   Paris 7
Henrik Loeser|Carnegie Mellon University
Maxence Guesdon|Autonomous University of Madrid
Jian Yang 0001|University of Connecticut
Emanuele De Bernardi|University of Nebraska Medical Center
Slim Abdellatif|Huazhong University of Science and Technology
Lei Zhang 0038|Middle East Technical University
Maomeng Su|University of Bath
Hang Zhao|University of New Mexico
Debora Di Bartolo|Shanghai Jiao Tong University
Andrzej Jodlowski|University of Campinas
Robert Valette|London School of Hygiene & Tropical Medicine
N. Parameswaran|Washington University in St. Louis
Willy Susilo|Paul Sabatier University   Toulouse III
Oliver Günther 0001|University of Colorado Denver
Md. Imran Alam|University of Hamburg
Ipek Gursel Dino|Free University of Berlin
Antonieta Martínez-Velasco|Duke University
Scott D. Rudlosky|University of Twente
Da Ruan 0001|University of Tsukuba
Zhong Li|University of Turku
Ryan Cook|California Institute of Technology
A. Christy|Kansas State University
Sharad Mehrotra|University of Delhi
Chi C. Ying|Massachusetts Institute of Technology
Hans-Jürgen Bürckert|Autonomous University of Madrid
Leonardo Andrade Ribeiro|Brunel University
Xingquan Zhu 0001|Wuhan University
Shogo Nishida|Queen's University Belfast
Michael A. Arbib|University of Ferrara
David Buffoni|University of Sheffield
Matthew Sessoms|Technical University of Berlin
Karim Benouaret|Laval University
Jean-Yves Thiriet|University of Rennes 1
Adel Smeda|Cardiff University
Jiawei Jiang|Aarhus University
Charles Duchâteau|University of Vienna
Marco Scotto|Radboud University Nijmegen
Frédéric Bergéron|Otto von Guericke University Magdeburg
Peter M. G. Apers|Medical College of Wisconsin
Ba-Ngu Vo|University of Modena and Reggio Emilia
Ulrich Güntzer|Tianjin University
Anne-Lise Courbis|Technical University of Berlin
Kenneth A. Ross|University of Chile
Yusuke Kozawa|University of Liège
Federico Vitale|University of Santiago de Compostela
William Sims Bainbridge|University of Münster
Étienne André|Hanyang University
Luis Salgado|Sogang University
Thomas Fahringer|Osaka City University
Ching-Lai Hwang|Pierre and Marie Curie University
Nicolas Stouls|Tsinghua University
Ajantha Dahanayake|Trinity College Dublin
Michèle Cart|Juntendo University
Nele Verbiest|Grenoble Institute of Technology
Torben Bach Pedersen|Linköping University
Nadia Nouali-Taboudjemat|University of Wyoming
Mateusz Jarus|National Taiwan University
Mauro Barni|Northwestern University
Ali Imam Abidi|University of Colorado Boulder
Manola Ricciuti|University of Sheffield
Frans Coenen|Fudan University
Roman Z. Morawski|University of Southampton
Dieter Fensel|Radboud University Nijmegen
Chee-Yong Chan|Ewha Womans University
Arvind S. Krishna|Kyung Hee University
Lai Xu 0001|Tianjin University
Vincent Leclercq|University of Hamburg
Maria Semenyak|Hanyang University
Justus Klingemann|Yokohama National University
Tiezhen Wang|University of Milan   Bicocca
Philipp Liegl|University of Georgia
Kjetil Nørvåg|Columbia University
George Karabatis|Nanyang Technological University
Peter Kuchment|University of Bergen
Fabio Casati|University of California Los Angeles
Husna Osman|Bielefeld University
Stéphane Lafortune|University of Tampere
Thomas Villmann|Polytechnic University of Milan
Flaminia L. Luccio|University of Nebraska Medical Center
Pushpak Bhattacharyya|University of Oklahoma   Norman Campus
Jorge Martínez Gil|University of Ulsan
Nicholas R. Jennings|University of Oulu
Ross S. Purves|Katholieke Universiteit Leuven
Johann M. Márquez-Barja|Emory University
Young-Kwang Nam|University of British Columbia
Marc Dalmau|University of Hanover
Verena Kantere|University of California Irvine
Yannis Tzitzikas|Macquarie University
Derick Wood|Rensselaer Polytechnic Institute
Nicole Schweikardt|University of Groningen
Gio Wiederhold|University of Naples Federico II
Marco Begolo|University of Turin
Jochen Renz|École normale supérieure   Paris
Luís E. T. Rodrigues|Chiba University
Michel Toulouse|University of Innsbruck
Alberto José Bugarín Diz|Joseph Fourier University
Laura Conti|Aix Marseille University
Shin'ichi Konomi|University of Virginia
Nélio Cacho|University of California Riverside
Stratos Idreos|Aix Marseille University
Wolfgang Klas|Scuola Normale Superiore di Pisa
Ralph Bergmann|Colorado State University   Fort Collins
Ralf Müller|Zhejiang University
Emna Fki|University of Otago
Mehmet Altinel|University of Science Malaysia
Paolo Moretti|Medical University of Vienna
Werner Retschitzegger|University of Science and Technology of China
Gerard Meszaros|Pennsylvania State University University Park
Yannis Vassiliou|Ludwig Maximilian University of Munich
Ron Sun|San Diego State University
Imen Filali|Karlsruhe Institute of Technology
Celeste Pizarro|Gwangju Institute of Science and Technology
Gabriel Ciobanu|University of Arkansas for Medical Sciences
Orit Hazzan|University of Arkansas   Fayetteville
Paul Chapron|Shinshu University
Franck Gechter|Chiba University
Thomas Pötsch|Nanyang Technological University
Johannes Hund|University of Otago
Sven Hartmann|University of New Mexico
Sjoerd M. Verduyn Lunel|Stanford University
Benjamin Gâteau|University of Utah
Guthemberg Silvestre|University of Connecticut
Iván Pastor Sanz|Erasmus University Rotterdam
Julien Maire|Nanyang Technological University
Slawomir Stanczak|University of California Santa Barbara
Laaziz Lahlou|Queen Mary University of London
Wei Liu 0007|University of Iowa
Zhanzi Qiu|University of Liège
Deke Guo|University of Colorado Boulder
Andreas Geppert|University of Arkansas   Fayetteville
Luis Rivera|Ohio University
Viktor K. Prasanna|University of Mississippi   Oxford Campus
Joao Meidanis|Johns Hopkins University
Shawn Bowers|Shandong University
Ahmed Abdelgawad|University of Tokushima
Raju Halder|Albert Ludwig University of Freiburg
Hervé Thiriez|Stellenbosch University
Sébastien Varrette|University of Nebraska–Lincoln
Yang-Sae Moon|University of Rome Tor Vergata
William Kokou Dedzoe|University of Bristol
Thomas Zilio|University of Dundee
Santiago Aja-Fernández|Durham University
Anastasia Analyti|City University London
Elisa Quintarelli|Charles University in Prague
Arndt Kuhlman|University of Michigan Ann Arbor
Nils Klimanis|University of Akron
Wolfgang Küchlin|University of Houston
Nezo Ibrahim Fofana|University of Hull
Carlos A. Coello Coello|Grenoble Institute of Technology
Dou Shen|Vita Salute San Raffaele University
Jordan Gottardo|Osaka University
Mirjana Pavlovic|Uppsala University
Boualem Benatallah|Duke University
Fabiano Fernandes dos Santos|Kanazawa University
Emanuela Barbi|University of Bern
Nathaniel Palmer|Kanazawa University
Laurent d'Orazio|University of Dundee
Xue Iuan Wong|University of Maryland College Park
Delphine Reinhardt|University of Rennes 1
Richard Sharp|University of Bonn
Myra Spiliopoulou|Hiroshima University
Nickolas Zoulis|York University
Sven Tomforde|Johns Hopkins University
Jean-Pierre Müller|New York University
Karl Wiggisser|University of California Los Angeles
Giuseppe Santucci|University of California San Francisco
Shruthi Kashyap|University of Turin
Paola Salomoni|Washington University in St. Louis
Alberto Nannarelli|Medical University of South Carolina
Cheng-Shang Chang|University of Mississippi   Oxford Campus
Gláucia de Oliveira Dias|Leipzig University
Nick Craswell|University of Louisville
Marion Vasseur|Princeton University
Cédric Bonhomme|Cardiff University
Meng Shen|University of Montpellier 2
Vassilis J. Tsotras|University of Tampere
Einar Smith|Wesleyan University
Clara Monaco|University of Miami
Heike Stach|University of Lisbon
Shili Xiang|Iowa State University
James M. Boyle|Claude Bernard University Lyon 1
Matt Stephens|Chiba University
Michael Mrissa|Kobe University
James G. Nagy|Colorado State University   Fort Collins
Bodiuzzaman Jony|Southern Methodist University
Gabriella Pasi|University of Milan   Bicocca
Lucile Beaugil|Stellenbosch University
Agnieszka Dardzinska|University of Düsseldorf
Alexandros Karakasidis 0001|University of Tokushima
Maarten van Steen|Shandong University
Alain Trouvé|University of Southampton
Shih-Hsing Wang|Technical University of Denmark
Brice Follet|University of Duisburg Essen
Vijay Mago|Osaka City University
Kenza Kellou-Menouer|University of Dundee
Ke-Jia Chen|McGill University
P. Pandurang Nayak|Paul Sabatier University   Toulouse III
Asma Ben Letaifa|Syracuse University
Alvaro A. Cárdenas|Scuola Normale Superiore di Pisa
Heiko Schuldt|University of Jena
Donald Baker|University of Montreal
Siu-Ming Yiu|University of Sheffield
Laura Montanini|University of Navarra
Laura Bright|City University of Hong Kong
Michaela Schicho|Université catholique de Louvain
Wilhelm Hasselbring|Seoul National University
Eithan Ephrati|University of Bergen
Philipp L. Rautenberg|North Carolina State University
Fabio Paternò|University of New Hampshire
Jacques Saraydaryan|University of Parma
Arihant Jain|Federal University of Rio de Janeiro
Paul E. S. Dunne|Vita Salute San Raffaele University
Ilham Benyahia|Delft University of Technology
Takahiro Murata|Wageningen University and Research Centre
Wei-Cheng Lai|University of Manchester
Salah Merniz|University of Regensburg
Thaís Vasconcelos Batista|University of British Columbia
Song Y. Yan|University of Exeter
Isabelle M. Demeure|University of Hull
Aris Gkoulalas-Divanis|Emory University
Agrima Srivastava|VU University Amsterdam
Jacques Wainer|University of Sydney
Samuel A. Fricker|University of Cincinnati
Vijay Machiraju|University of Nebraska Omaha
Hieu Nguyen|Jagiellonian University
Sakkaravarthi Ramanathan|Tel Aviv University
Stefano Ghignone|Technical University of Dortmund
Danilo Pianini|Ohio State University Columbus
Cédrick Bellissens|San Diego State University
Simone Angelini|Goethe University Frankfurt
Fu Cheng|Polytechnic University of Milan
Joemon M. Jose|Chalmers University of Technology
Chris Conlan|Seoul National University
Antonio Pizza|University at Buffalo The State University of New York
Hiroshi Shimizu|University of Edinburgh
Vanja Josifovski|University of Calgary
Sune S. Nielsen|Shandong University
Daniel Lowd|Paul Sabatier University   Toulouse III
Germán Montoro|Durham University
Hans-Jürgen Appelrath|Virginia Polytechnic Institute and State University
Alexander V. Smirnov 0001|University of Bergen
Tomasz Ksiezyk|Utrecht University
Antonino Mazzeo|University of Antwerp
Patrick Jeuniaux|University of Buenos Aires
Bianca Wackersreuther|University of Birmingham
Hilla Atzmon|University of Bristol
Menachem Shtalhaim|Western University (The University of Western Ontario)
Peter Knees|Sogang University
Renata Vieira|Newcastle University
Fabienne Boyer|Oklahoma State University–Stillwater
James Michaelis|Cornell University
Stasinos Konstantopoulos|Boston University
Ahmed K. F. Khattab|University of Liverpool
Michael R. Genesereth|Erasmus University Rotterdam
Martin Ester|Delft University of Technology
Leticia Hernando|University of Birmingham
Klaus-Dieter Gronwald|University of Melbourne
Frank Ohlhaver|University of Akron
Alexandros Labrinidis|Imperial College London
Marwa Gamal|Colorado State University   Fort Collins
David Evans 0001|Grenoble Institute of Technology
Andrea De Salve|University of Tennessee Knoxville
Farnoush Banaei Kashani|Wesleyan University
Marisol García-Valls|University of Liverpool
Safa Hamdoun|Bielefeld University
Erich-Peter Klement|University of Science Malaysia
Marlena Kruger|Stockholm University
Khady Ba|University of Texas at San Antonio
Hervé Costantini|University of Pittsburgh   Pittsburgh Campus
Alessia Visconti|Wageningen University and Research Centre
Bernhard Jaecksch|Tel Aviv University
Bernhard R. Kämmerer|University of Nebraska–Lincoln
Walid G. Aref|University of New South Wales
Horst Eggert|University of Surrey
Abdessamad Imine|University of California Santa Barbara
Ahmed Serhrouchni|University of Vienna
Caroline Lasser|Cornell University
María Teresa Arredondo|Thomas Jefferson University
Michael Dietz|Shandong University
Sertac Karaman|University of Vermont
Antonina Dattolo|Hanyang University
Wenfei Fan|University of Turin
Yoshiaki Tsukamoto|University of Marburg
Giovanni Ciatto|George Washington University
Yousef J. Al-Houmaily|Paul Sabatier University   Toulouse III
Frank Schönthaler|University of Birmingham
Theo P. van der Weide|Saarland University
Sven Bittner|Vita Salute San Raffaele University
Yingxia Shao|Johannes Gutenberg University of Mainz
Etienne Gagnon|Bielefeld University
Peter Matthew|Emory University
Manolis Vavalis|University of Strasbourg
Stefan Mangold|Nanyang Technological University
Nasir Ghani|Pontifical Catholic University of Chile
Paul Klint|Chonbuk National University
Manish Soni|Aix Marseille University
Alex Aved|Syracuse University
Gergely Ács|University of California San Francisco
Marcin Relich|Ohio State University Columbus
Alexandre Cervieri|Lehigh University
Nathalie Cislo|George Washington University
Emmanuel Adam|University of Rostock
Saïd Tazi 0001|Zhejiang University
Dave R. Lawrence|Monash University
Michal Baczynski 0001|Monash University
S. Au|Kobe University
Benedetta Tondi|California Institute of Technology
Sanjay Kumar Jena|Swiss Federal Institute of Technology in Zurich
Valentina Orrù|University of Cologne
Anne H. H. Ngu|Chonnam National University
KwangSoo Yang|National Taiwan University
Sophie Chabridon|Royal Institute of Technology
Manish Bhide|Albert Ludwig University of Freiburg
Jano I. van Hemert|University of Ulm
Lasanthi Heendaliya|University of Kansas
Damien Magoni|University of Twente
Fred Kuhns|University of Amsterdam
Walter Daelemans|University of Tokushima
Jitesh J. Thakkar|Ohio University
Sheila A. McIlraith|University of Texas at San Antonio
Harrison Stratton|Kanazawa University
Rim Ben Messaoud|Jagiellonian University
Xianghao Yu|Tufts University
Brijesh Kumar Chaurasia|Osaka City University
Zeynep Ozturk Yurt|Ewha Womans University
Nancy H. F. French|University of Science and Technology of China
Carsten Binnig|Saint Petersburg State University
Jana Koehler|Ruhr University Bochum
Wenchang Liu|University of Texas Southwestern Medical Center
Naftaly H. Minsky|University of Navarra
Alexander E. Gegov|Katholieke Universiteit Leuven
Peter J. Barclay|University of Vermont
K. P. Krishna Kumar|University of Illinois at Urbana–Champaign
Xiaolei Zhang|Rice University
Frans Van Assche|Maastricht University
Giuseppe Longo|University of Cambridge
Christoph Tempich|University College London
Massimiliano Garda|Nanyang Technological University
Teresa Maria Sgaramella|University of Western Australia
Daniel Hagimont|Ruprecht Karl University of Heidelberg
Yu Zhu|Texas A&M University College Station
Denis Conan|Arizona State University
Theodoros Tzouramanis|Stanford University
Abdi Ali|University of Genoa
Yun Sing Koh|London School of Economics
Riadh Ben Messaoud|Kyushu University
Andreas Miethsam|University of Virginia
Pierre de Saqui-Sannes|St George's University of London
Filippo Carnovalini|Monash University
Bastien Confais|Texas A&M University College Station
Joan Torrens|University of Southern California
Thomas Bräunl|University of Tampere
James G. Williams 0002|Technical University of Madrid
Zsófia Lendek|Western University (The University of Western Ontario)
Jianhua Shao 0001|Purdue University West Lafayette
Victor E. Lee|Central South University
Hatem Khalloof|University of Tokyo
Alexandra Poulovassilis|University of Southern Denmark
Indrakshi Ray|Swiss Federal Institute of Technology in Lausanne
Desheng Wu|Polytechnic University of Milan
Elena Paslaru Bontas|Lehigh University
Mohammed Haddad 0001|Nankai University
Shojiro Nishio|University of California Santa Barbara
Alberto L. Sangiovanni-Vincentelli|Shandong University
Yuyang Dong|University of Colorado Boulder
Fernando G. Lobo|Katholieke Universiteit Leuven
Robert Meersman|Indian Institute of Technology Delhi
Patricia Melin|University of Texas Health Science Center at San Antonio
Dieter Hogrefe|University at Albany SUNY
Anna Ouzgouler|Paris Descartes University
Santosh S. Vempala|Dresden University of Technology
Markus Holzleitner|Swedish University of Agricultural Sciences
Christian Schulte 0001|Delft University of Technology
Matej Kloska|University of Alabama   Tuscaloosa
Subhamoy Maitra|University of Hong Kong
Wojciech Galuba|Pontifical Catholic University of Chile
Olfa Bouchaala|Humboldt University of Berlin
Jimeng Sun|University of Strathclyde
Eduard C. Dragut|Grenoble Institute of Technology
Nicolò Marchetti|Federal University of Minas Gerais
Demetrios Zeinalipour-Yazti|Vienna University of Technology
Serge Chaumette|Shanghai Jiao Tong University
Stefan Rass|University of Guelph
Roger Zimmermann|Tokyo Medical and Dental University
Marwen Abdennebi|University of Seville
Gia Toan Nguyen|University of Central Florida
Prabal Paul|Durham University
Panos Constantopoulos|University of Montpellier 2
Jörg P. Müller|Vanderbilt University
Abdullah Alsheddy|University of Campinas
Michiel de Jong|Royal Institute of Technology
Johann Eder|Weizmann Institute of Science
Shuai Li 0002|Dresden University of Technology
Jingyu Han|University of Missouri–Columbia
Anne Auger|Boston College
Jun Li 0008|Katholieke Universiteit Leuven
Mónica Jiménez|Wesleyan University
Billel Gueni|University of California San Francisco
Erich Schubert|University of Navarra
Sadia Alkama|University of Colorado Denver
Mourad Amad|South China University of Technology
Pasquale Lops|Washington University in St. Louis
Patrick Thiran|University of Chile
Suan Khai Chong|University of Melbourne
Zohra Bellahsene|University of Southern Denmark
Jean Frédéric Myoupo|University of Tennessee Knoxville
Viviane Jonckers|National and Kapodistrian University of Athens
Tobias Wagner 0001|University of Gothenburg
Mihkel Lauk|Virginia Polytechnic Institute and State University
Nectarios Koziris|Pohang University of Science and Technology
Sourav De|University of Campinas
Bo Wang 0040|Concordia University
Alan J. Dix|University of Lausanne
Theo Härder|Carnegie Mellon University
Fabio Crestani|University of Nebraska Medical Center
Mario Bertero|University of Padua
Gregor Joeris|University of Nebraska Medical Center
J. Frédéric Bonnans|Swiss Federal Institute of Technology in Lausanne
Maryline Laurent-Maknavicius|University of Porto
Lucia Knapciková|Baylor University
Dan Russler|Virginia Polytechnic Institute and State University
Sarmistha Neogy|University of Science and Technology of China
Yong Yu 0001|University of Lausanne
Nicolas Anciaux|University of Regensburg
Marco Kuhrmann|Oregon Health & Science University
James Magowan|University of Alabama   Tuscaloosa
Ider Tseveendorj|University of California Santa Barbara
Antonin Chambolle|University of KwaZulu Natal
Peng Wang 0089|University of Ferrara
Maria Francesca Costabile|Leiden University
Matthias Weber 0001|Umeå University
Ruicheng Ma|University of Nebraska Omaha
Brad Long|University of Lorraine
Mi Xiao|University of Liverpool
Lizhe Wang 0001|McGill University
Uttama Lahiri|South China University of Technology
Nicolas Le Sommer|Aalto University
Seng Wai Loke|University of Seville
Woodrow Barfield|University of Maryland College Park
Guy Tremblay|Michigan State University
Peter F. Tropschuh|George Washington University
Hans W. Nissen|University of Parma
Claudio Pacchierotti|Yokohama National University
Matthew J. Saltzman|Indiana University Purdue University Indianapolis
Alexander A. Soderlund|University of Sydney
Paolo Massa|University of Seville
Ba-Tuong Vo|University of Zurich
Bernhard Rumpe|University of Central Florida
Paul Grace|University of Valencia
Peter A. Buhr|University of Hanover
Günter von Bültzingsloewen|Katholieke Universiteit Leuven
Ioanna Lykourentzou|University of Tokyo
Maxim Zarodnyuk|University of Antwerp
Kishan Sudusinghe|Delft University of Technology
Richard M. Ryan|Pusan National University
Manuele Kirsch-Pinheiro|Weizmann Institute of Science
Yannick Fouquet|Aix Marseille University
Giuseppe Martuscelli|University of Queensland
Luiz Celso Gomes Jr.|University of Copenhagen
Adam Wright|University of Central Florida
Jereme Haack|Hiroshima University
Sami Bhiri|Ohio University
Stephen J. Mellor|University of Strathclyde
Weiwei Cui|University of Düsseldorf
Maurice Coyle|Kobe University
Changsheng Hua|Paris Diderot University   Paris 7
Grigoris Antoniou|Dresden University of Technology
Mohammad J. Rashti|New Mexico State University
David Levy 0001|Hong Kong Polytechnic University
Fabio Salice|Huazhong University of Science and Technology
France Chappaz|University of Glasgow
Ralf Mikut|Thomas Jefferson University
P. Krishna Reddy|Michigan State University
M. Mustafa Rafique|Harvard University
Dheerendra Mishra|University of Iowa
Óscar Ibáñez|Lund University
Tianqing Zhu|Aalto University
Linda Makovicka Osvaldova|University of Lisbon
Hani Hagras|Tokyo University of Science
Kim-Kwang Raymond Choo|Pohang University of Science and Technology
Prasan Roy|Simon Fraser University
Zeina Torbey|University of York
Hartmut Vogler|Joseph Fourier University
Gautam H. Thaker|Miami University
Sebastian Tietz|Oklahoma State University–Stillwater
Ludovic Dubost|University of Adelaide
Dawei Jiang|Chalmers University of Technology
Chiang Lee|Xiamen University
Sanjiva Weerawarana|Technical University of Dortmund
Mohamed Sellami|Tokyo Medical and Dental University
Alastair Peter Dunsmore|Yokohama National University
Alexander Tuzhilin|University of California Davis
Diaraf Seck|New Mexico State University
Paola Bonfante|Columbia University
Philipp Cimiano|University of Konstanz
Aaron Bostrom|University of California Riverside
Maxime Boudreault|Polytechnic University of Catalonia
Sara Bertoni|Kyungpook National University
Nenad Stojanovic|Wesleyan University
Martin Dietzfelbinger|University of British Columbia
Alexander Shapiro|Juntendo University
Tom Addis|Hong Kong Polytechnic University
David Korfkamp|Pontifical Catholic University of Chile
Goetz Graefe|University of Manitoba
Anisoara Nica|Michigan State University
Durga Prasad Bavirisetti|University of Liverpool
René Noël|University of Chile
